Material Number RMMG1-MATNR,Loop Id Column,Characteristic Name ALLOCVALUESCHARNEW-CHARACT,Characteristic Value ALLOCVALUESCHARNEW-VALUE_CHAR
5FZ05181N000000505,H,,
,D,ZPKG_SEC_GROUP,F
,D,ZPKG_SEC_CHANGE_POINT,N
,D,ZPKG_SEC_VERSION,05
,D,ZPKG_SEC_PRIMARY_TYPE,CAN
,D,ZPKG_SEC_CARTON_TYPE_1,CARTON
,D,ZPKG_SEC_CARTON_TYPE_2,บรรจุ BLISTER
,D,ZPKG_SEC_PACKING,24
,D,ZPKG_SEC_PACKING_STYLE,BL02
,D,ZPKG_SEC_CARTON_GRADE,KI150/CA125/KI125
,D,ZPKG_SEC_CARTON_FLUTE,B
,D,ZPKG_SEC_CARTON_DIMENSION,343x258x140
,D,ZPKG_SEC_RSC_DI,RSC
,D,ZPKG_SEC_SHEET_SIZE,NO
,D,ZPKG_SEC_ACCESSORIES,NO
,D,ZPKG_SEC_CAR_PRINTING_STYLE,NORMAL
,D,ZPKG_SEC_CAR_TOTAL_COLOUR,2
,D,ZPKG_SEC_CAR_PROCESS_COLOUR,0
,D,ZPKG_SEC_CAR_PMS_COLOUR,
,D,ZPKG_SEC_VENDOR,10000019
,D,ZPKG_SEC_BRAND,28L
,D,ZPKG_SEC_PRODUCT_CODE,3AAOFY3ALCE8HINNUV
,D,ZPKG_SEC_PRIMARY_SIZE,"209.5,208x107(2P)"
,D,ZPKG_SEC_CONTAINER_TYPE,Alu Gold Can
,D,ZPKG_SEC_LID_TYPE,Alu Gold Lid(EZO)
,D,ZPKG_SEC_PLANT_REGISTER,NO
,D,ZPKG_SEC_SYMBOL,NO HEALTH CLAIM;NO NUTRIENT CLAIM;NO SYMBOL
,D,ZPKG_SEC_CATCHING_AREA,
,D,ZPKG_SEC_FAO,
,D,ZPKG_SEC_CATCHING_PERIOD,NO
,D,ZPKG_SEC_COMPANY_ADR,NO
,D,ZPKG_SEC_DOC_NO,AW-N-2022-00000038
,D,ZPKG_SEC_PRODUCTION_PLANT,1011;1012;1021;1022;1031
,D,ZPKG_SEC_CATCHING_METHOD,
,D,ZPKG_SEC_SCIENTIFIC_NAME,
,D,ZPKG_SEC_SPECIE,
,D,ZPKG_SEC_MATERIAL,Z_PAPER
,D,ZPKG_SEC_PLASTIC,
,D,ZPKG_SEC_REUSEABLE,Z_YES
,D,ZPKG_SEC_RECYCLABLE,Z_YES
,D,ZPKG_SEC_COMPOSATABLE,Z_YES
,D,ZPKG_SEC_OTHER,n/a
,D,ZPKG_SEC_RECYCLED_CONTENT,100
,D,ZPKG_SEC_CERT,Z_NO
,D,ZPKG_SEC_CERT_SOURCE,Z_NO_CERTIFICATION
,D,ZPKG_SEC_WEIGHT,0.240
